"Date","Odometer"
2016-02-01,0
2016-02-04,9
2016-02-07,9
2016-02-10,37
2016-02-13,473
2016-02-16,485
2016-02-19,499
2016-02-22,528
2016-02-25,970
2016-02-28,974
2016-03-02,1531
2016-03-05,1911
2016-03-08,1926
2016-03-11,1926
2016-03-14,1934
2016-03-17,1934
2016-03-20,1937
2016-03-23,2235
2016-03-26,2235
2016-03-29,2258
2016-04-01,2946
2016-04-04,2946
2016-04-07,2962
2016-04-10,2985
2016-04-13,2991
2016-04-16,2995
2016-04-19,2995
2016-04-22,3024
2016-04-25,3726
2016-04-28,4434
2016-05-01,4454
2016-05-04,4479
2016-05-07,4710
2016-05-10,4710
2016-05-13,4717
2016-05-16,4725
2016-05-19,4725
2016-05-22,5293
2016-05-25,5488
2016-05-28,5492
2016-05-31,6063
2016-06-03,6081
2016-06-06,6081
2016-06-09,6468
2016-06-12,6901
2016-06-15,7550
2016-06-18,7562
2016-06-21,8029
2016-06-24,8041
2016-06-27,8067
2016-06-30,8090
2016-07-03,8114
2016-07-06,8128
2016-07-09,8144
2016-07-12,8798
2016-07-15,8826
2016-07-18,9361
2016-07-21,9385
2016-07-24,9631
2016-07-27,9642
2016-07-30,9664
2016-08-02,9691
2016-08-05,9707
2016-08-08,9722
2016-08-11,9732
2016-08-14,9755
2016-08-17,9780
2016-08-20,10374
2016-08-23,10374
2016-08-26,10387
2016-08-29,10387
2016-09-01,10676
2016-09-04,11302
2016-09-07,11310
2016-09-10,11322
2016-09-13,11325
2016-09-16,11351
2016-09-19,11366
2016-09-22,11366
2016-09-25,11749
2016-09-28,12418
2016-10-01,12418
2016-10-04,12418
2016-10-07,12424
2016-10-10,12437
2016-10-13,12737
2016-10-16,12745
2016-10-19,12773
2016-10-22,12792
2016-10-25,12803
2016-10-28,12818
2016-10-31,13532
2016-11-03,13534
2016-11-06,13562
2016-11-09,13591
2016-11-12,14144
2016-11-15,14455
2016-11-18,14470
2016-11-21,14473
2016-11-24,14943
2016-11-27,15306
2016-11-30,15326
2016-12-03,15352
2016-12-06,15901
2016-12-09,15929
2016-12-12,15948
2016-12-15,16409
2016-12-18,16414
2016-12-21,16414
2016-12-24,16414
2016-12-27,17154
2016-12-30,17179
2017-01-02,17194
2017-01-05,17194
2017-01-08,17215
2017-01-11,17778
2017-01-14,17806
2017-01-17,17807
2017-01-20,17832
2017-01-23,17832
2017-01-26,17833
2017-01-29,17842
2017-02-01,17861
2017-02-04,17863
2017-02-07,17888
2017-02-10,17900
2017-02-13,18161
2017-02-16,18827
2017-02-19,18850
2017-02-22,18850
2017-02-25,18850
2017-02-28,19348
2017-03-03,19352
2017-03-06,19363
2017-03-09,19388
2017-03-12,19414
2017-03-15,19442
